<one employee	Where was killed	Sudanese region of Darfur>
<the children	beg for	"Some>
<the children	beg for	have been begging their parents or guardians not to leave,">
<61 years,	the life expectancy in	Haiti>
<Students	can now have part of forgiven	loan>
<the flight	How long is	2-hour, 54-minute>
<Archbishop Desmond Tutu,	would boycott	the conference>
<World Heritage site	designated	The historic center of Warsaw is as what>
<two	involved	many vehicles were in the crash>
<a police officer	say	Dr. William Petit>
<Taylor,	died after being shot in last week	home invasion>
<Alexander Pato	team play for	AC Milan>
<the broadcast	how long was	30-minute>
<How many people	get killed	least 130>
<How many people	get killed	At>
<Woods	had	an affair>
<Tiger	had	an affair>
<In 1970,	move	did Yiannis Karimalis back to Greece>
<Hispanic immigrants	is weakening	the U.S. identity>
<New York	is the most exciting city in	the world>
<the safety of Pakistan's	said	he said about US on Pakistan`s nuclear arsenal>
<Katherine Jackson's	is looking for in the article	control>
<How many police generals	were sacked	30>
<Feinstein	is in	the Judiciary Committee>
<Schumer	is in	the Judiciary Committee>
<"Velvet Revolution"	the march in 1989 in	memory of>
<blues	discussed	type of music was being>
<United States and other nations	is discussing	possible sanctions>
<Doug Gross, Brandon Griggs and Stephanie Goldberg	writes	tech check>
<nuclear watchdog chief	reject	did Pakistan>
<the death	When was announced	December 19,>
<Claudette	hit land	early Monday,>
<David Mann	plays Mr. Brown in	Meet The Browns>
<Grandma Theresa Neves	say	"Well, it is unusual for some onlookers, but those people didn't live with my two grandchildren,">
<the chief executive officer,	be	should responsible>
<Black Hawk	was	was of Helicopter>
<Army H-60 Black Hawk	was	was of Helicopter>
<the State Department Cultural Visitors Program	How long is	three weeks>
<preventing identity theft	is	a priority>
<country	has possible military plans	Israel>
<the girl	drop charges	February,>
<Author	spends time	Patricia Cornwell>
<David Givens	What say about the H1N1 flu	The>
<David Givens	What say about the H1N1 flu	swine>
<David Givens	What say about the H1N1 flu	virus is putting our most familiar gesture of greeting>
<David Givens	What say about the H1N1 flu	handshakes>
<TV Everywhere,	the name of	the program>
<the attacks	done to relations between New Delhi and Canberra	Political tension>
<the attacks	done to relations between New Delhi and Canberra	bubbled up>
<11	are	many judges there>
<the countries	see a doubling of	swine flu cases>
<justices	said about COPA	rejected an appeal>
<Federer	lost	the deciding set>
<Roger	lost	the deciding set>
<Pacquiao	claims to have instructed to file a law	his promoter Bob Arum>
<Manny	claims to have instructed to file a law	his promoter Bob Arum>
<President Obama	offers their full support to	the Haitian leader>
<Which boxer	retained his title	Amir Khan>
<of flights	did	did the animal invasion>
<Dozens	did	did the animal invasion>
<Which state	has one of the highest foreclosure rates in the country	Arizona>
<Bermuda	affected	Which country could be by the hurricane this weekend>
<Tiger Woods	When did apologize	Friday>
<who	is the cyber czar	a person>
<who	is the cyber czar	will coordinate the nation's efforts to protect government and private computer systems from hackers, criminal gangs, terrorists and spies,>
<Federal safety investigators	is investigating	the train crash>
<are	Are	the stakes for Palin high or low>
<the weapon	Could have been reused	The launcher "is no longer operable>
<"The Kirchners	weakened	has " been by this latest economic crisis ">
<aggravated manslaughter,	charged	were they with>
<3-0	the score at	home>
<0-0	the score at	home>
<2-1	the score at	home>
<Edward Eugene Harper	was fondling	a child>
<the park statement	What say about the collision	"This is an unfortunate, random incident,">
<Which church	has a gay bishop	Episcopal>
<Harrison,	is	Whose star next to Hollywood headquarters>
<Iceland's	involved	Which country is in the story>
<the victim	portrayed as	Julie Jensen>
<He	spent in prison	27 years>
<Which airline	cancelled flights	Delta Air Lines>
<a picture	leaked	has been>
<the reporter	type of photos seek	nude and decapitated body of a murdered hiker,>
<what	does krystal square off offer	fantasy eating leagues>
<Barack	first name	Obama 's>
<legislation	crack	has been in part to help crack down on the MMS>
<Eamon Sullivan	regained	the record>
<study	found these risks	in Pediatrics>
<Two Americans	pulled	was from the rubble>
<the home	What is now worth	$1.2 million>
<three	is	many more that than last census>
<there were in the	is	many more that than last census>
<the death toll	What was	six people>
<Which president	called for tax relief	Bush>
<2007,	were	year the recalls on Chinese products>
<Ann Curley	suffers from what disease	I diabetic>
<Ann Curley	suffers from what disease	type>
<the former world champion	is	Tyson Gay>
<his London home,	found	was McQueen>
<Burmese python	live	kind of snakes in Florida Everglades>
<Hadden	resigned	in April>
<dangers as civil warfare and	poaching	the census of mountain gorillas in DR Congo doing well despite war , poaching>
<such	poaching	the census of mountain gorillas in DR Congo doing well despite war , poaching>
<appear to be hanging on	poaching	the census of mountain gorillas in DR Congo doing well despite war , poaching>
<The	poaching	the census of mountain gorillas in DR Congo doing well despite war , poaching>
<The pictures were "recent,"	say	did MEND>
<Arms sales, as well as more frequent military exercises and exchanges,	cemented	In what way could US - Indian relations be>
<Dallas Cowboys ' practice facility	collapses during thunderstorm	a heavy>
<the family	said this is " One of "	the darkest moments of our lives>
<26	compete	many teams>
<he	many hours waited	18>
<Karachi	much rainfall have	9 inches (22.9 cm),>
<Adams and Harris	covered him with	blanket>
<Civil War battlefields,	threatened	are being>
<Taliban	killed eight people and injured at least 17 in	attacks>
<A330	the number of	the Airbus>
<many people	gathered in Moldova 's capital Chisinau	10,000>
<Lewis	What city was found in	Miami,>
<the service	When will begin	Thursday>
<leaders trying to convert	are	atheists>
<the mother	arrive from	Quito, Ecuador,>
<the civil war with	is	Tamil Tigers>
<Mahmoud Ahmadinejad	is	the president>
<larger than expected	the number of Hispanics in	most states>
<Belfi	What say of Davies	Adam>
<Belfi	What say of Davies	has become>
<than 50	the number of kids that have been abducted in haiti since	january>
<More	the number of kids that have been abducted in haiti since	january>
<the homeless population of Las Vegas	turn during bad weather	storm drains>
<Mayweather Junior	will Shane Mosley be fighting in	Vegas>
<Floyd	will Shane Mosley be fighting in	Vegas>
<$65 million in merchandise	taken	much was>
<channel	aired the grainy footage	10>
<the Fox news host	was	Glenn Beck>
<Chinese government	is bracing for	a rush of weddings>
<Sgarbi	admission make	blackmailing Germany's richest woman,>
<Cheryl Katzmarzyk	pieced	The remains of massacre victims were together by who>
<the former manager	What is saying	then-Democratic presidential nominee Barack Obama was more seriously considering picking Clinton as his running mate than any of his senior aides realized,>
<Women	violate the law	not wearing socks,">
<Women	violate the law	not wearing headscarves>
<"You are polluting our air and abusing our national resources,"	say	did the sticky note left on Hummer>
<three-year	playing	long the study of 13 - 16 year olds playing online game>
<Barack Obama	praised President Bush for	the cooperative nature of transition>
<Elaine	sought	had>
<they	What do at the site	stopped>
<they	What do at the site	The family walked up the steps of the memorial on a chilly night in Washington and then visited the museum>
<they	What do at the site	the>
<they	What do at the site	On the way out,>
<Cuba	slashing imports of US food by	one-third,>
<the sexual assault	Where did occur	in the back of an ambulance,>
<Paolo Guerrero	hit with record fine	has been punished>
<Paolo Guerrero	hit with record fine	a>
<northeastern Madrid	explode	did a bomb>
<the Shuttle Discovery	do	docked with the international space station>
<the investigators	What are trying to figure out	why the rampage happened,>
<ABBA,	Name	the most famous winners of the contest>
<many people	share the nobel peace prize	three>
<pitch	received	has widespread criticism>
<Wembley's	received	has widespread criticism>
<you	pay with this service	gas and insurance,>
<Stiles	described as	"survivalist type">
<21,	shooting	is the age of the guy Tyler Peterson to stop shooting>
<Jewish	was	Frank 's religion>
<$7 billion	spent	much has been on debt interest>
<Sajida Faraj	enjoys	dinner>
<Darla Jones,	sympathizes with	the Palin family>
<eight	the number of acts in	the agreement>
<Amy Bishop	killing	he was of killing their colleagues in Alabama>
<professor	killing	he was of killing their colleagues in Alabama>
<service to be held	When is	Wednesday afternoon>
<Yao	fractured	his left foot>
<at least two	opened	Are any shelters>
<65	burned	percentage of his body are>
<H1N1	the name of	the virus>
<Morgan Tsvangirai	go for medical treatment	hospital in Gaborone, Botswana,>
<abnormally high concentrations of radioactivity	were	they on lookout for>
<coalition convoy	attacked	was>
<What nationality	is Zlatan Ibrahimovic	Swedish>
<How many people	are eligible to vote	18.9 million>
None
<Billy Graham	is	his name>
<Whose autopsy report	was released	Robert D. Champion>
<Carlos the Jackal	get	in prison>
<Carlos the Jackal	get	life>
<U.S.	deployed	types of troops will be>
<NATO	deployed	types of troops will be>
<the two suspects	How old are	23-year-old>
<the two suspects	How old are	24-year-old>
<two	taking	many years ago Braeden taking a pay cut previously>
<nominated Mukasey	did President Bush nominate to replace	Alberto Gonzales>
<longtime ally	did President Bush nominate to replace	Alberto Gonzales>
<his sentence length	be	15 years to life,>
<sportswear,	be	will the main priority for Adidas>
<he	movie promoting	"Inglourious Basterds">
<the flight traveling at	What altitude was	34,000 feet>
<the sport the player	is active in	tennis>
<Dawn Brancheau,	caught	The of who was caught on camera at Seaworld Orlando>
<Joe Paterno	say	the string of sexual child abuse charges>
<O'Ryan,	held	was on a $ 220,000 bond>
<high-rises,	sways	on Vancouver Island>
<Addison, Illinois,	found	Bodies were after 911 call in which city>
